Date,Comment_ID,Parent_ID,Content,Status,Reaction_Count,Reply_Count,Permalink,Post_URL
2026-06-07 01:55:28,1444898224349187_1861165191507679,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1861165191507679,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:31,1444898224349187_2945163065818912,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2945163065818912,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:34,1444898224349187_1507248577565963,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1507248577565963,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:36,1444898224349187_1450640050167039,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1450640050167039,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:38,1444898224349187_1317977949836021,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1317977949836021,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:41,1444898224349187_26862854746740232,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=26862854746740232,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:43,1444898224349187_1579335216957776,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1579335216957776,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:45,1444898224349187_1546309447088140,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1546309447088140,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:48,1444898224349187_27690138730570596,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=27690138730570596,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:51,1444898224349187_1239602601429274,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1239602601429274,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:54,1444898224349187_930510916687350,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=930510916687350,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:55:57,1444898224349187_4280841585488363,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=4280841585488363,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:05,1444898224349187_2543453866110565,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2543453866110565,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:09,1444898224349187_3134080993449576,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=3134080993449576,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:12,1444898224349187_947799871645562,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=947799871645562,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:26,1444898224349187_1538433691137874,1444898224349187_4464277320517150,An Nhiên Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1538433691137874,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:29,1444898224349187_4510503442565242,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=4510503442565242,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:33,1444898224349187_1328054799463676,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1328054799463676,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:36,1444898224349187_27678033595127166,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=27678033595127166,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:39,1444898224349187_1013514957789094,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1013514957789094,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:56:41,1444898224349187_1833142471404841,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1833142471404841,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:57:13,1444898224349187_1580534643594268,1444898224349187_4464277320517150,An Nhiên Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1580534643594268,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:57:54,1444898224349187_1036786052266051,1444898224349187_1677135680069562,An Nhiên Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=1036786052266051,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:58:04,1444898224349187_3895012407307558,1444898224349187_1329146931880288,Quang Huy Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=3895012407307558,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:58:06,1444898224349187_991182096966627,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=991182096966627,https://www.facebook.com/408308732570405/posts/1444898224349187
2026-06-07 01:58:09,1444898224349187_2192943524876786,1444898224349187_1329146931880288,Xịn #Prudential,active,0,0,https://www.facebook.com/1454150383423971/posts/1444898224349187?comment_id=1329146931880288&reply_comment_id=2192943524876786,https://www.facebook.com/408308732570405/posts/1444898224349187
